"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2020","13,663.67","13,318.95","13,738.25","13,318.95","-","2.59%"
"Feb 28, 2020","13,318.95","13,697.23","13,697.23","13,291.45","-","-2.76%"
"Feb 27, 2020","13,697.23","13,646.56","13,760.32","13,642.19","-","0.37%"
"Feb 26, 2020","13,646.56","13,677.29","13,778.70","13,504.29","-","-0.22%"
"Feb 25, 2020","13,677.29","13,762.04","13,762.04","13,505.85","-","-0.62%"
"Feb 24, 2020","13,762.04","13,945.34","13,945.34","13,718.16","-","-1.31%"
"Feb 21, 2020","13,945.34","14,009.40","14,035.78","13,900.92","-","-0.46%"
"Feb 20, 2020","14,009.40","13,750.45","14,023.88","13,750.45","-","1.88%"
"Feb 19, 2020","13,750.45","13,712.13","13,815.63","13,674.43","-","0.28%"
"Feb 18, 2020","13,712.13","13,859.23","13,859.32","13,671.89","-","-1.06%"
"Feb 17, 2020","13,859.23","13,646.93","13,859.23","13,632.23","-","1.56%"
"Feb 14, 2020","13,646.93","13,547.16","13,660.84","13,518.83","-","0.74%"
"Feb 13, 2020","13,547.16","13,638.49","13,696.95","13,535.21","-","-0.67%"
"Feb 12, 2020","13,638.49","13,603.43","13,639.14","13,529.55","-","0.26%"
"Feb 11, 2020","13,603.43","13,420.83","13,661.80","13,420.70","-","1.36%"
"Feb 10, 2020","13,420.83","13,426.71","13,455.79","13,260.81","-","-0.04%"
"Feb 07, 2020","13,426.71","13,481.92","13,481.92","13,286.61","-","-0.41%"
"Feb 06, 2020","13,481.92","13,301.97","13,532.73","13,273.11","-","1.35%"
"Feb 05, 2020","13,301.97","13,187.05","13,389.27","13,145.93","-","0.87%"
"Feb 04, 2020","13,187.05","12,815.75","13,195.82","12,815.01","-","2.90%"
"Feb 03, 2020","12,815.75","13,791.36","13,791.36","12,622.61","-","-7.07%"
"Jan 24, 2020","13,791.36","13,791.36","13,791.36","13,791.36","-","0.00%"
"Jan 23, 2020","13,791.36","14,204.27","14,204.27","13,691.30","-","-2.91%"
"Jan 22, 2020","14,204.27","14,165.76","14,222.55","13,935.83","-","0.27%"
"Jan 21, 2020","14,165.76","14,447.36","14,447.36","14,153.12","-","-1.95%"
"Jan 20, 2020","14,447.36","14,393.72","14,489.14","14,392.25","-","0.37%"
"Jan 17, 2020","14,393.72","14,375.81","14,484.50","14,346.96","-","0.12%"
"Jan 16, 2020","14,375.81","14,454.84","14,500.68","14,350.00","-","-0.55%"
"Jan 15, 2020","14,454.84","14,550.49","14,588.61","14,424.21","-","-0.66%"
"Jan 14, 2020","14,550.49","14,606.62","14,686.75","14,544.45","-","-0.38%"
"Jan 13, 2020","14,606.62","14,469.96","14,606.62","14,461.74","-","0.94%"
"Jan 10, 2020","14,469.96","14,476.88","14,525.73","14,434.50","-","-0.05%"
"Jan 09, 2020","14,476.88","14,315.57","14,486.60","14,315.57","-","1.13%"
"Jan 08, 2020","14,315.57","14,452.43","14,452.43","14,275.08","-","-0.95%"
"Jan 07, 2020","14,452.43","14,340.98","14,479.70","14,340.98","-","0.78%"
"Jan 06, 2020","14,340.98","14,460.45","14,492.31","14,263.15","-","-0.83%"
"Jan 03, 2020","14,460.45","14,531.65","14,570.51","14,424.81","-","-0.49%"
"Jan 02, 2020","14,531.65","14,383.81","14,610.87","14,353.29","-","1.03%"
"Jan 01, 2020","14,383.81","14,383.81","14,383.81","14,383.81","-","0.00%"
