Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
Europe,Iceland,"330,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","350,000"
Asia,India,"33,800,000","213,340,000","900,000","1,093,780,000","10,140,000","6,540,000","28,520,000","10,000","1,387,030,000"
Asia,Indonesia,"26,930,000","229,620,000","240,000","4,210,000","1,800,000","750,000","360,000","<10,000","263,910,000"
Asia,Iran,"100,000","80,880,000","100,000","20,000","<10,000","<10,000","140,000","<10,000","81,250,000"
Africa,Iraq,"320,000","41,430,000","50,000","<10,000","<10,000","<10,000","20,000","<10,000","41,830,000"
Europe,Ireland,"4,590,000","80,000","400,000","20,000","10,000","<10,000","<10,000","<10,000","5,110,000"
Europe,Isle of Man,"80,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","90,000"
Africa,Israel,"180,000","1,730,000","280,000","<10,000","20,000","20,000","10,000","6,360,000","8,600,000"
Europe,Italy,"48,720,000","2,960,000","8,100,000","140,000","150,000","100,000","60,000","50,000","60,270,000"
South America,Jamaica,"2,270,000","<10,000","500,000","<10,000","<10,000","140,000","30,000","<10,000","2,930,000"
Asia,Japan,"2,190,000","220,000","74,780,000","40,000","41,380,000","500,000","5,550,000","<10,000","124,660,000"
Africa,Jordan,"160,000","7,410,000","<10,000","10,000","30,000","<10,000","<10,000","<10,000","7,640,000"
Asia,Kazakhstan,"4,130,000","12,870,000","720,000","<10,000","60,000","70,000","20,000","<10,000","17,880,000"
Africa,Kenya,"44,460,000","5,550,000","1,200,000","70,000","<10,000","780,000","570,000","<10,000","52,630,000"
Asia,Kiribati,"110,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","110,000"
Europe,Kosovo,"100,000","1,750,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","1,860,000"
Africa,Kuwait,"450,000","2,350,000","<10,000","330,000","180,000","<10,000","<10,000","<10,000","3,320,000"
Asia,Kyrgyzstan,"620,000","5,540,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","6,190,000"
Asia,Laos,"110,000","<10,000","60,000","<10,000","4,630,000","2,370,000","50,000","<10,000","7,240,000"
Europe,Latvia,"1,160,000","<10,000","960,000","<10,000","<10,000","<10,000","<10,000","<10,000","2,130,000"
Africa,Lebanon,"1,740,000","2,780,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","4,550,000"
Africa,Lesotho,"2,310,000","<10,000","70,000","<10,000","<10,000","<10,000","<10,000","<10,000","2,380,000"
Africa,Liberia,"4,480,000","610,000","70,000","<10,000","<10,000","30,000","<10,000","<10,000","5,200,000"
Africa,Libya,"200,000","7,170,000","10,000","<10,000","20,000","<10,000","<10,000","<10,000","7,420,000"
Europe,Liechtenstein,"40,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","40,000"
Europe,Lithuania,"2,820,000","<10,000","310,000","<10,000","<10,000","<10,000","<10,000","<10,000","3,130,000"
Europe,Luxembourg,"370,000","10,000","140,000","<10,000","<10,000","<10,000","<10,000","<10,000","520,000"
Asia,Macau,"40,000","<10,000","90,000","<10,000","100,000","340,000","<10,000","<10,000","570,000"
Europe,North Macedonia,"1,100,000","870,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","2,000,000"
Africa,Madagascar,"23,200,000","850,000","2,010,000","20,000","<10,000","1,270,000","30,000","<10,000","27,380,000"
Africa,Malawi,"17,280,000","2,660,000","410,000","10,000","<10,000","340,000","10,000","<10,000","20,720,000"
Asia,Malaysia,"3,140,000","22,070,000","200,000","1,940,000","5,220,000","730,000","50,000","<10,000","33,360,000"
Asia,Maldives,"<10,000","350,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","360,000"
Africa,Mali,"490,000","19,610,000","110,000","<10,000","<10,000","530,000","<10,000","<10,000","20,730,000"
Europe,Malta,"400,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","420,000"
Asia,Marshall Islands,"50,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","50,000"
South America,Martinique,"400,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","420,000"
Africa,Mauritania,"10,000","4,310,000","<10,000","<10,000","<10,000","20,000","<10,000","<10,000","4,350,000"
Africa,Mauritius,"440,000","230,000","10,000","640,000","<10,000","<10,000","<10,000","<10,000","1,330,000"
Africa,Mayotte,"<10,000","270,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","270,000"
South America,Mexico,"118,570,000","<10,000","7,240,000","<10,000","10,000","70,000","20,000","80,000","126,010,000"
Asia,Federated States of Micronesia,"130,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","130,000"
Europe,Moldova,"3,260,000","30,000","40,000","<10,000","<10,000","<10,000","<10,000","20,000","3,350,000"
Europe,Monaco,"30,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","40,000"
Asia,Mongolia,"70,000","110,000","1,160,000","<10,000","1,730,000","110,000","<10,000","<10,000","3,190,000"
Europe,Montenegro,"490,000","130,000","20,000","<10,000","<10,000","<10,000","<10,000","<10,000","640,000"
South America,Montserrat,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000"
Africa,Morocco,"20,000","35,510,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","35,530,000"
Africa,Mozambique,"16,760,000","5,000,000","5,020,000","10,000","<10,000","2,210,000","<10,000","<10,000","29,000,000"
Asia,Burma,"4,040,000","2,200,000","260,000","890,000","41,440,000","2,990,000","90,000","<10,000","51,910,000"
Africa,Namibia,"2,600,000","<10,000","50,000","<10,000","<10,000","<10,000","<10,000","<10,000","2,670,000"
Asia,Nauru,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","10,000"
Asia,Nepal,"170,000","1,790,000","90,000","28,600,000","3,540,000","1,290,000","30,000","<10,000","35,490,000"
Europe,Netherlands,"8,070,000","1,170,000","7,550,000","100,000","50,000","40,000","40,000","30,000","17,040,000"
Asia,New Caledonia,"230,000","<10,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","280,000"
Asia,New Zealand,"2,540,000","80,000","1,910,000","120,000","90,000","20,000","40,000","<10,000","4,810,000"
South America,Nicaragua,"5,710,000","<10,000","870,000","<10,000","<10,000","90,000","<10,000","<10,000","6,690,000"
Africa,Niger,"200,000","21,660,000","170,000","<10,000","<10,000","20,000","<10,000","<10,000","22,040,000"
Africa,Nigeria,"96,080,000","104,650,000","790,000","<10,000","20,000","3,050,000","110,000","<10,000","204,690,000"
Asia,Niue,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000"
Asia,North Korea,"500,000","<10,000","18,070,000","<10,000","380,000","3,130,000","3,270,000","<10,000","25,350,000"
Asia,Northern Mariana Islands,"50,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","60,000"
Europe,Norway,"4,230,000","250,000","600,000","30,000","40,000","<10,000","10,000","<10,000","5,180,000"
Africa,Oman,"220,000","2,890,000","10,000","190,000","20,000","<10,000","30,000","<10,000","3,370,000"
Asia,Pakistan,"3,260,000","200,490,000","30,000","3,990,000","20,000","40,000","30,000","<10,000","207,860,000"
Asia,Palau,"20,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","20,000"
Africa,Palestinian territories,"110,000","5,250,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","5,360,000"
South America,Panama,"3,720,000","30,000","200,000","<10,000","<10,000","20,000","20,000","20,000","4,020,000"
Asia,Papua New Guinea,"8,390,000","<10,000","<10,000","<10,000","<10,000","40,000","20,000","<10,000","8,460,000"
South America,Paraguay,"7,390,000","<10,000","90,000","<10,000","<10,000","130,000","10,000","<10,000","7,630,000"
South America,Peru,"31,420,000","<10,000","1,010,000","<10,000","50,000","330,000","110,000","<10,000","32,920,000"
Asia,Philippines,"102,320,000","6,330,000","110,000","<10,000","100,000","1,750,000","160,000","<10,000","110,780,000"
Europe,Poland,"35,120,000","20,000","2,780,000","<10,000","<10,000","<10,000","<10,000","10,000","37,950,000"
Europe,Portugal,"9,370,000","40,000","890,000","<10,000","20,000","20,000","<10,000","<10,000","10,360,000"
South America,Puerto Rico,"3,660,000","<10,000","80,000","<10,000","10,000","30,000","<10,000","<10,000","3,790,000"
Africa,Qatar,"310,000","1,490,000","20,000","360,000","90,000","<10,000","10,000","<10,000","2,290,000"
Africa,Reunion,"820,000","40,000","20,000","40,000","<10,000","<10,000","10,000","<10,000","940,000"
Europe,Romania,"20,320,000","80,000","20,000","<10,000","<10,000","<10,000","<10,000","<10,000","20,430,000"
Europe,Russia,"101,900,000","15,940,000","21,190,000","60,000","170,000","300,000","10,000","200,000","139,760,000"
Africa,Rwanda,"13,230,000","310,000","430,000","<10,000","<10,000","100,000","30,000","<10,000","14,100,000"
Africa,St. Helena,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000"
South America,St. Kitts and Nevis,"60,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","60,000"
South America,St. Lucia,"180,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","190,000"
North America,St. Pierre and Miquelon,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000"
South America,St. Vincent and the Grenadines,"110,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","120,000"
Asia,Samoa,"220,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","220,000"
Europe,San Marino,"30,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","30,000"
Africa,Sao Tome and Principe,"170,000","<10,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","210,000"
Africa,Saudi Arabia,"1,450,000","30,690,000","210,000","440,000","130,000","90,000","80,000","<10,000","33,090,000"
Africa,Senegal,"530,000","15,480,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","16,020,000"
Europe,Serbia,"7,040,000","390,000","260,000","<10,000","<10,000","<10,000","<10,000","<10,000","7,690,000"
