"Date","Price","Open","High","Low","Change %"
"Mar 06, 2020","68.5685","67.6538","68.5893","67.3500","1.35%"
"Mar 05, 2020","67.6538","66.2666","67.7243","66.0866","2.09%"
"Mar 04, 2020","66.2666","65.9881","66.5286","65.5228","0.42%"
"Mar 03, 2020","65.9881","66.4319","66.6332","65.3718","-0.67%"
"Mar 02, 2020","66.4319","66.8806","67.3036","66.1185","-0.67%"
"Feb 28, 2020","66.8806","66.0217","67.6272","66.0150","1.30%"
"Feb 27, 2020","66.0217","65.4708","66.3953","65.4535","0.84%"
"Feb 26, 2020","65.4708","65.3726","65.7071","64.9758","0.15%"
"Feb 25, 2020","65.3726","64.0561","65.5840","64.0561","2.06%"
"Feb 21, 2020","64.0561","64.2038","64.5556","63.9151","-0.23%"
"Feb 20, 2020","64.2038","63.5710","64.2898","63.5710","1.00%"
"Feb 19, 2020","63.5710","63.8115","63.8115","63.4626","-0.38%"
"Feb 18, 2020","63.8115","63.4645","64.1482","63.4645","0.55%"
"Feb 17, 2020","63.4645","63.5556","63.5625","63.2157","-0.14%"
"Feb 14, 2020","63.5556","63.6413","63.6463","63.3913","-0.13%"
"Feb 13, 2020","63.6413","63.2143","63.7693","63.2123","0.68%"
"Feb 12, 2020","63.2143","63.3759","63.3760","62.9315","-0.25%"
"Feb 11, 2020","63.3759","64.1332","64.1332","63.2510","-1.18%"
"Feb 10, 2020","64.1332","64.1100","64.2930","63.6597","0.04%"
"Feb 07, 2020","64.1100","63.3488","64.2214","63.2394","1.20%"
"Feb 06, 2020","63.3488","62.8877","63.4172","62.7255","0.73%"
"Feb 05, 2020","62.8877","63.1093","63.2797","62.5671","-0.35%"
"Feb 04, 2020","63.1093","63.7150","63.7250","62.8513","-0.95%"
"Feb 03, 2020","63.7150","63.9203","64.0934","63.4934","-0.32%"
"Jan 31, 2020","63.9203","63.2759","63.9414","63.0663","1.02%"
"Jan 30, 2020","63.2759","62.5451","63.5062","62.5400","1.17%"
"Jan 29, 2020","62.5451","62.2825","62.8159","62.2825","0.42%"
"Jan 28, 2020","62.2825","62.9797","63.1305","62.2817","-1.11%"
"Jan 27, 2020","62.9797","62.0857","63.0959","62.0700","1.44%"
"Jan 24, 2020","62.0857","61.9020","62.2722","61.7285","0.30%"
"Jan 23, 2020","61.9020","61.8397","62.0861","61.8366","0.10%"
"Jan 22, 2020","61.8397","61.8802","62.0586","61.7808","-0.07%"
"Jan 21, 2020","61.8802","61.5553","61.9664","61.5475","0.53%"
"Jan 20, 2020","61.5553","61.5573","61.6422","61.3889","-0.00%"
"Jan 17, 2020","61.5573","61.6574","61.6745","61.3025","-0.16%"
"Jan 16, 2020","61.6574","61.4315","61.7542","61.3912","0.37%"
"Jan 15, 2020","61.4315","61.4394","61.6848","61.3489","-0.01%"
"Jan 14, 2020","61.4394","61.2727","61.5208","61.2363","0.27%"
"Jan 13, 2020","61.2727","61.0548","61.3798","60.8919","0.36%"
"Jan 10, 2020","61.0548","61.2830","61.3778","60.8865","-0.37%"
"Jan 09, 2020","61.2830","61.2437","61.3925","61.1412","0.06%"
"Jan 08, 2020","61.2437","61.8227","61.9875","61.0893","-0.94%"
"Jan 06, 2020","61.8227","62.0922","62.3357","61.7532","-0.43%"
"Jan 03, 2020","62.0922","61.9863","62.2218","61.8172","0.17%"
