"Date","Price","Open","High","Low","Change %"
"Feb 14, 2020","0.9232","0.9225","0.9237","0.9208","0.09%"
"Feb 13, 2020","0.9224","0.9196","0.9230","0.9183","0.29%"
"Feb 12, 2020","0.9197","0.9161","0.9205","0.9153","0.39%"
"Feb 11, 2020","0.9161","0.9165","0.9183","0.9154","-0.04%"
"Feb 10, 2020","0.9165","0.9131","0.9168","0.9125","0.32%"
"Feb 07, 2020","0.9136","0.9104","0.9140","0.9103","0.32%"
"Feb 06, 2020","0.9107","0.9091","0.9120","0.9078","0.16%"
"Feb 05, 2020","0.9092","0.9054","0.9097","0.9052","0.41%"
"Feb 04, 2020","0.9055","0.9042","0.9064","0.9038","0.14%"
"Feb 03, 2020","0.9042","0.9016","0.9062","0.9012","0.31%"
"Jan 31, 2020","0.9014","0.9065","0.9077","0.9012","-0.55%"
"Jan 30, 2020","0.9064","0.9083","0.9086","0.9058","-0.20%"
"Jan 29, 2020","0.9082","0.9073","0.9099","0.9067","0.10%"
"Jan 28, 2020","0.9073","0.9075","0.9093","0.9071","-0.02%"
"Jan 27, 2020","0.9075","0.9073","0.9084","0.9058","0.04%"
"Jan 24, 2020","0.9071","0.9046","0.9075","0.9040","0.28%"
"Jan 23, 2020","0.9046","0.9015","0.9062","0.9002","0.36%"
"Jan 22, 2020","0.9014","0.9022","0.9034","0.9011","-0.09%"
"Jan 21, 2020","0.9022","0.9014","0.9026","0.8995","0.10%"
"Jan 20, 2020","0.9013","0.9015","0.9029","0.9006","-0.06%"
"Jan 17, 2020","0.9018","0.8980","0.9022","0.8974","0.43%"
"Jan 16, 2020","0.8979","0.8968","0.8988","0.8951","0.12%"
"Jan 15, 2020","0.8968","0.8985","0.8995","0.8958","-0.19%"
"Jan 14, 2020","0.8985","0.8981","0.9006","0.8972","0.04%"
"Jan 13, 2020","0.8981","0.8989","0.9000","0.8971","-0.12%"
"Jan 10, 2020","0.8992","0.9004","0.9022","0.8985","-0.13%"
"Jan 09, 2020","0.9004","0.9004","0.9015","0.8991","0.00%"
"Jan 08, 2020","0.9004","0.8966","0.9009","0.8954","0.44%"
"Jan 07, 2020","0.8965","0.8932","0.8982","0.8931","0.39%"
"Jan 06, 2020","0.8930","0.8954","0.8964","0.8923","-0.32%"
"Jan 03, 2020","0.8959","0.8950","0.8989","0.8944","0.10%"
"Jan 02, 2020","0.8950","0.8918","0.8958","0.8907","0.35%"
"Jan 01, 2020","0.8919","0.8920","0.8926","0.8911","0.00%"
